fid,date,24hour,x,y,Ground_val,Satelite_val,Land_use,Road_density,Population,Temperature,Wind_dir,Wind_Velocity,Hygrometry,Atm_Pres
"97",2010-01-01,"0",-76.8732783195963,39.5284754397557,,,,,,,,,,
"98",2010-01-01,"0",-76.8642951667551,39.5284754397557,,,,,,,,,,
"99",2010-01-01,"0",-76.8553120139139,39.5284754397557,,,,,,,,,,
"100",2010-01-01,"0",-76.8463288610727,39.5284754397557,,,,,,,,,,
"101",2010-01-01,"0",-76.8373457082315,39.5284754397557,,,,,,,,,,
"102",2010-01-01,"0",-76.8283625553903,39.5284754397557,,,,,,,,,,
"103",2010-01-01,"0",-76.8193794025491,39.5284754397557,,,,,,,,,,
"104",2010-01-01,"0",-76.810396249708,39.5284754397557,,,,,,,,,,
"105",2010-01-01,"0",-76.8014130968668,39.5284754397557,,,,,,,,,,
"106",2010-01-01,"0",-76.7924299440256,39.5284754397557,,,,,,,,,,
"107",2010-01-01,"0",-76.7834467911844,39.5284754397557,,,,,,,,,,
"108",2010-01-01,"0",-76.7744636383432,39.5284754397557,,,,,,,,,,
"109",2010-01-01,"0",-76.765480485502,39.5284754397557,,,,,,,,,,
"110",2010-01-01,"0",-76.7564973326608,39.5284754397557,,,,,,,,,,
"111",2010-01-01,"0",-76.7475141798196,39.5284754397557,,,,,,,,,,
"112",2010-01-01,"0",-76.7385310269784,39.5284754397557,,,,,,,,,,
"113",2010-01-01,"0",-76.7295478741372,39.5284754397557,,,,,,,,,,
"114",2010-01-01,"0",-76.720564721296,39.5284754397557,,,,,,,,,,
"115",2010-01-01,"0",-76.7115815684548,39.5284754397557,,,,,,,,,,
"116",2010-01-01,"0",-76.7025984156136,39.5284754397557,,,,,,,,,,
"117",2010-01-01,"0",-76.6936152627724,39.5284754397557,,,,,,,,,,
"118",2010-01-01,"0",-76.6846321099312,39.5284754397557,,,,,,,,,,
"119",2010-01-01,"0",-76.67564895709,39.5284754397557,,,,,,,,,,
"120",2010-01-01,"0",-76.6666658042488,39.5284754397557,,,,,,,,,,
"121",2010-01-01,"0",-76.6576826514076,39.5284754397557,,,,,,,,,,
"122",2010-01-01,"0",-76.6486994985664,39.5284754397557,,,,,,,,,,
"123",2010-01-01,"0",-76.6397163457252,39.5284754397557,,,,,,,,,,
"124",2010-01-01,"0",-76.6307331928841,39.5284754397557,,,,,,,,,,
"125",2010-01-01,"0",-76.6217500400429,39.5284754397557,,,,,,,,,,
"126",2010-01-01,"0",-76.6127668872017,39.5284754397557,,,,,,,,,,
"127",2010-01-01,"0",-76.6037837343605,39.5284754397557,,,,,,,,,,
"128",2010-01-01,"0",-76.5948005815193,39.5284754397557,,,,,,,,,,
"129",2010-01-01,"0",-76.5858174286781,39.5284754397557,,,,,,,,,,
"130",2010-01-01,"0",-76.5768342758369,39.5284754397557,,,,,,,,,,
"131",2010-01-01,"0",-76.5678511229957,39.5284754397557,,,,,,,,,,
"132",2010-01-01,"0",-76.5588679701545,39.5284754397557,,,,,,,,,,
"133",2010-01-01,"0",-76.5498848173133,39.5284754397557,,,,,,,,,,
"134",2010-01-01,"0",-76.5409016644721,39.5284754397557,,,,,,,,,,
"135",2010-01-01,"0",-76.5319185116309,39.5284754397557,,,,,,,,,,
"136",2010-01-01,"0",-76.5229353587897,39.5284754397557,,,,,,,,,,
"137",2010-01-01,"0",-76.5139522059485,39.5284754397557,,,,,,,,,,
"138",2010-01-01,"0",-76.5049690531073,39.5284754397557,,,,,,,,,,
"139",2010-01-01,"0",-76.4959859002661,39.5284754397557,,,,,,,,,,
"140",2010-01-01,"0",-76.4870027474249,39.5284754397557,,,,,,,,,,
"141",2010-01-01,"0",-76.4780195945837,39.5284754397557,,,,,,,,,,
"142",2010-01-01,"0",-76.4690364417425,39.5284754397557,,,,,,,,,,
"143",2010-01-01,"0",-76.4600532889013,39.5284754397557,,,,,,,,,,
"144",2010-01-01,"0",-76.4510701360601,39.5284754397557,,,,,,,,,,
"145",2010-01-01,"0",-76.442086983219,39.5284754397557,,,,,,,,,,
"146",2010-01-01,"0",-76.4331038303778,39.5284754397557,,,,,,,,,,
"147",2010-01-01,"0",-76.4241206775366,39.5284754397557,,,,,,,,,,
"148",2010-01-01,"0",-76.4151375246954,39.5284754397557,,,,,,,,,,
"149",2010-01-01,"0",-76.4061543718542,39.5284754397557,,,,,,,,,,
"150",2010-01-01,"0",-76.397171219013,39.5284754397557,,,,,,,,,,
"151",2010-01-01,"0",-76.3881880661718,39.5284754397557,,,,,,,,,,
"152",2010-01-01,"0",-77.7356609923511,39.5215463131397,,,,,,,,,,
"153",2010-01-01,"0",-77.7266778395099,39.5215463131397,,,,,,,,,,
"154",2010-01-01,"0",-77.7176946866687,39.5215463131397,,,,,,,,,,
"155",2010-01-01,"0",-77.7087115338275,39.5215463131397,,,,,,,,,,
"156",2010-01-01,"0",-77.6997283809863,39.5215463131397,,,,,,,,,,
"157",2010-01-01,"0",-77.6907452281451,39.5215463131397,,,,,,,,,,
"158",2010-01-01,"0",-77.6817620753039,39.5215463131397,,,,,,,,,,
"159",2010-01-01,"0",-77.6727789224627,39.5215463131397,,,,,,,,,,
"160",2010-01-01,"0",-77.6637957696215,39.5215463131397,,,,,,,,,,
"161",2010-01-01,"0",-77.6548126167803,39.5215463131397,,,,,,,,,,
"162",2010-01-01,"0",-77.6458294639391,39.5215463131397,,,,,,,,,,
"163",2010-01-01,"0",-77.6368463110979,39.5215463131397,,,,,,,,,,
"164",2010-01-01,"0",-77.6278631582567,39.5215463131397,,,,,,,,,,
"165",2010-01-01,"0",-77.6188800054155,39.5215463131397,,,,,,,,,,
"166",2010-01-01,"0",-77.6098968525743,39.5215463131397,,,,,,,,,,
"167",2010-01-01,"0",-77.6009136997331,39.5215463131397,,,,,,,,,,
"168",2010-01-01,"0",-77.5919305468919,39.5215463131397,,,,,,,,,,
"169",2010-01-01,"0",-77.5829473940507,39.5215463131397,,,,,,,,,,
"170",2010-01-01,"0",-77.5739642412096,39.5215463131397,,,,,,,,,,
"171",2010-01-01,"0",-77.5649810883684,39.5215463131397,,,,,,,,,,
"172",2010-01-01,"0",-77.5559979355272,39.5215463131397,,,,,,,,,,
"173",2010-01-01,"0",-77.547014782686,39.5215463131397,,,,,,,,,,
"174",2010-01-01,"0",-77.5380316298448,39.5215463131397,,,,,,,,,,
"175",2010-01-01,"0",-77.5290484770036,39.5215463131397,,,,,,,,,,
"176",2010-01-01,"0",-77.5200653241624,39.5215463131397,,,,,,,,,,
"177",2010-01-01,"0",-77.5110821713212,39.5215463131397,,,,,,,,,,
"178",2010-01-01,"0",-77.50209901848,39.5215463131397,,,,,,,,,,
"179",2010-01-01,"0",-77.4931158656388,39.5215463131397,,,,,,,,,,
"180",2010-01-01,"0",-77.4841327127976,39.5215463131397,,,,,,,,,,
"181",2010-01-01,"0",-77.4751495599564,39.5215463131397,,,,,,,,,,
"182",2010-01-01,"0",-77.4661664071152,39.5215463131397,,,,,,,,,,
"183",2010-01-01,"0",-77.457183254274,39.5215463131397,,,,,,,,,,
"184",2010-01-01,"0",-77.4482001014328,39.5215463131397,,,,,,,,,,
"185",2010-01-01,"0",-77.4392169485916,39.5215463131397,,,,,,,,,,
"186",2010-01-01,"0",-77.4302337957504,39.5215463131397,,,,,,,,,,
"187",2010-01-01,"0",-77.4212506429092,39.5215463131397,,,,,,,,,,
"188",2010-01-01,"0",-77.412267490068,39.5215463131397,,,,,,,,,,
"189",2010-01-01,"0",-77.4032843372268,39.5215463131397,,,,,,,,,,
"190",2010-01-01,"0",-77.3943011843857,39.5215463131397,,,,,,,,,,
"191",2010-01-01,"0",-77.3853180315445,39.5215463131397,,,,,,,,,,
"192",2010-01-01,"0",-77.3763348787033,39.5215463131397,,,,,,,,,,
"193",2010-01-01,"0",-77.3673517258621,39.5215463131397,,,,,,,,,,
"194",2010-01-01,"0",-77.3583685730209,39.5215463131397,,,,,,,,,,
"195",2010-01-01,"0",-77.3493854201797,39.5215463131397,,,,,,,,,,
"196",2010-01-01,"0",-77.3404022673385,39.5215463131397,,,,,,,,,,
"197",2010-01-01,"0",-77.3314191144973,39.5215463131397,,,,,,,,,,
"198",2010-01-01,"0",-77.3224359616561,39.5215463131397,,,,,,,,,,
"199",2010-01-01,"0",-77.3134528088149,39.5215463131397,,,,,,,,,,
"200",2010-01-01,"0",-77.3044696559737,39.5215463131397,,,,,,,,,,
"201",2010-01-01,"0",-77.2954865031325,39.5215463131397,,,,,,,,,,
"202",2010-01-01,"0",-77.2865033502913,39.5215463131397,,,,,,,,,,
"203",2010-01-01,"0",-77.2775201974501,39.5215463131397,,,,,,,,,,
"204",2010-01-01,"0",-77.2685370446089,39.5215463131397,,,,,,,,,,
"205",2010-01-01,"0",-77.2595538917677,39.5215463131397,,,,,,,,,,
